"","V1","sgBaseDiffb","sg102Diffb","sg113Diffb","sg130Diffb","sg103Diffb","sg91Diffb"
"108",1093,-1.5563923256231e-05,-4.7815432430818e-07,-7.69230769230771e-06,-3.10311289332268e-06,5.44389565368587e-06,2.34132611754996e-06
"109",1092,-1.3539917735722e-05,-1.37741046831951e-06,-4.32294977749524e-06,-6.65177867975071e-06,1.38012725425329e-07,-3.07648839117378e-06
"110",1091,-6.36923294265953e-06,-5.89107861835139e-06,-7.58526632652507e-07,-5.49388451486354e-06,-5.76610646540721e-06,-7.22339044017367e-06
"111",1090,-3.02486945843589e-06,-1.37741046831956e-06,3.21395775941233e-06,-8.40736575002308e-06,-1.12605343374574e-05,-6.13993620986633e-06
"112",1089,7.03104199607702e-07,-4.78154324308167e-07,3.88011367032346e-06,-3.49976363962382e-06,-4.54355279530104e-06,6.77023054645502e-07
"113",1088,1.48282176254205e-06,1.0166212963416e-06,-2.83686787183291e-06,1.92674458408724e-06,-1.78981857303536e-06,1.84741443482702e-06
"114",1087,6.55886460082264e-06,-8.20469351937925e-07,-1.30134046217962e-06,5.15645970191421e-07,3.58072386044413e-06,4.68645573540678e-06
"115",1086,6.03452491564379e-06,1.08128080156051e-06,-8.96539358077832e-08,3.29220119429911e-06,3.2177612597193e-06,2.93304209388129e-06
"116",1085,-9.05233073065239e-07,1.51813997967846e-06,-3.90510810091231e-06,-8.28076352551859e-07,5.15374291598072e-06,-1.58605962801771e-06
"117",1084,-1.49423226346303e-06,3.65896729533092e-06,-1.77243114306052e-06,-2.72819643449016e-06,4.13386147651878e-06,-9.77336571742164e-06
"118",1083,-2.67875093049918e-06,3.54757907205457e-06,1.38990768361397e-06,7.2266505832941e-07,3.99313196515997e-06,-9.8766035828972e-06
"119",1082,4.79186702962927e-06,2.37718769187307e-06,6.1209187083313e-06,2.73689014947757e-06,-2.47281855673464e-06,-1.05237419922736e-05
"120",1081,5.93291712172832e-06,-1.88218929477676e-06,5.70253367456164e-06,-1.8164430751843e-06,-1.13697491319869e-05,-7.48854874728996e-06
"121",1080,5.71285746110922e-06,-3.56333643046922e-06,5.06463233735962e-06,-5.64385109839656e-06,-2.2063018566515e-05,-3.76546530392679e-06
"122",1079,3.75133801707228e-06,-5.94378426546262e-06,-3.49976363962377e-06,-7.13156307561905e-06,-2.35588809015382e-05,-1.74037306904431e-06
"123",1078,-1.18125852391586e-06,-5.74817567824558e-06,-1.15452535032955e-05,-1.45554523176901e-05,-2.74259539993806e-05,-7.63090833020905e-06
"124",1077,2.56790606440956e-06,-7.78413505686237e-06,-1.06807722192338e-05,-1.68467895740623e-05,-1.97129987339778e-05,-1.24238620742118e-05
"125",1076,1.84415429170674e-06,4.67287180573772e-08,-8.77630527980179e-06,-1.15789416488717e-05,-8.43344689498535e-06,-1.32312908536686e-05
"126",1075,2.5505186344347e-06,4.61364587238711e-06,-7.08157421444135e-06,-5.02659733428966e-06,9.7184866415636e-06,-9.4223569748046e-06
"127",1074,4.09147961595514e-06,1.25477475127824e-05,7.13427986155267e-07,8.55896240511629e-06,2.60175721714183e-05,-4.30936584782743e-06
"128",1073,3.95020674740954e-06,1.43870115898088e-05,1.01743633212165e-05,1.97265826636456e-05,3.41250047543754e-05,5.57267130693718e-06
"129",1072,4.18711048081679e-06,1.41240267114393e-05,1.25434006552888e-05,2.08681761129314e-05,3.08518210616113e-05,1.33790840084546e-05
"130",1071,-5.77425682320786e-06,4.92118604006719e-06,7.38585423900109e-06,9.84291543732104e-06,1.48336511972876e-05,1.5501437179759e-05
"131",1070,-9.72718035655099e-06,-3.74373101645823e-06,3.29437462304596e-06,-2.2712330404638e-06,-9.90431479941968e-06,1.30351389092649e-05
"132",1069,-1.60936965132769e-05,-6.78381447612224e-06,-7.39454795398852e-06,-1.70331610891051e-05,-2.64365005623747e-05,-9.88910079818074e-08
"133",1068,-1.72570242500312e-05,-8.84368157095426e-06,-1.18060649529181e-05,-2.56844942159628e-05,-3.89891382898376e-05,-1.45858803201461e-05
"134",1067,-6.47247080813513e-06,-7.13482321873927e-06,-1.31454404181677e-05,-2.1692992322363e-05,-3.7921441417945e-05,-2.61881863280466e-05
"135",1066,-4.35772463744484e-07,-2.19842317744415e-06,-1.0545476279742e-05,-1.14425589950066e-05,-2.39919365793492e-05,-2.28546899875571e-05
"136",1065,7.86455192049597e-06,2.17234203248187e-06,-7.20382958145195e-06,4.70710330850188e-06,-3.78122266234158e-06,-1.32562852842574e-05
